Headline,Url,scraped_datetime,Rank
Live Australia news live: Victorian Liberals vote on Moira Deeming expulsion; stadium fight may push Tasmanian Liberals into minority,https://www.theguardian.com/australia-news/live/2023/may/12/australia-news-live-labor-coalmine-army-defence-budget-reply-dutton-missiles-china-aged-care-cost-of-living-interest-rates,2023-05-12 11:15:34.260061+10:00,1
E Jean Carroll considering suing Trump for his remarks during CNN town hall,https://www.theguardian.com/us-news/2023/may/11/trump-cnn-town-hall-e-jean-carroll-lawsuit,2023-05-12 11:15:34.260061+10:00,2
"BAE Systems tries to bill Australian taxpayers $55,000 for Christmas cards and decorations",https://www.theguardian.com/australia-news/2023/may/12/bae-systems-tries-to-bill-australian-taxpayers-55000-for-christmas-cards-and-decorations,2023-05-12 11:15:34.260061+10:00,3
"‘Another Juukan Gorge’: Darwin’s Middle Arm hub threatens Indigenous rock art, traditional owners say",https://www.theguardian.com/australia-news/2023/may/11/another-juukan-gorge-darwins-middle-arm-hub-threatens-indigenous-rock-art-traditional-owners-say,2023-05-12 11:15:34.260061+10:00,4
‘Get your money now’: consultants encourage aged care providers to exploit the system,https://www.theguardian.com/australia-news/2023/may/12/get-your-money-now-consultants-encourage-aged-care-providers-to-exploit-the-system,2023-05-12 11:15:34.260061+10:00,5
Albanese government approves first new coalmine since taking power,https://www.theguardian.com/environment/2023/may/11/albanese-government-approves-first-new-coal-mine-since-taking-power,2023-05-12 11:15:34.260061+10:00,6
Moira Deeming and the Liberals: why the Victorian MP has caused such a stir in a short period of time,https://www.theguardian.com/australia-news/2023/may/12/moira-deeming-and-the-liberals-why-the-victorian-mp-has-caused-such-a-stir-in-a-short-period-of-time,2023-05-12 11:15:34.260061+10:00,7
"Common disinfectant wipes expose people to dangerous chemicals, research reveals",https://www.theguardian.com/us-news/2023/may/11/concern-over-increase-in-disinfectant-wipes-linked-to-health-problems,2023-05-12 11:15:34.260061+10:00,8
Australia’s Voyager rock through to Eurovision final,https://www.theguardian.com/tv-and-radio/2023/may/12/australias-voyager-rock-through-to-eurovision-finals-in-a-car-called-promise,2023-05-12 11:15:34.260061+10:00,9
Lisa Wilkinson disputes Bruce Lehrmann prosecutor’s claim she was warned over Logies speech,https://www.theguardian.com/australia-news/2023/may/11/lisa-wilkinson-disputes-bruce-lehrmann-prosecutors-claim-she-was-warned-over-logies-speech,2023-05-12 11:15:34.260061+10:00,10
